"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"48";"DLNMselect.by";"54.665";"25.6";"7";"29.4190805087412";"20.7106082220994";"9.4815077861588";"14.065";"14.203";"25.381";"23.3626152844516";"26.3103522852458";"39.2051988281084";"54.7 (29.4)";"25.6 (20.7)";"7 (9.5)";"14.1 (23.4)";"14.2 (26.3)";"25.4 (39.2)"
"49";"DLNMselectback.none";"85.01";"70";"39.8";"19.7421740024607";"19.7969490558316";"15.5686813309233";"72.539";"64.822";"64.385";"10.7338122893325";"12.8681470336956";"13.3396755749323";"85 (19.7)";"70 (19.8)";"39.8 (15.6)";"72.5 (10.7)";"64.8 (12.9)";"64.4 (13.3)"
"50";"DLNMselectback.bonf";"61.337";"38";"17.2";"25.8436974517927";"19.1748994176441";"17.0607944443014";"19.719";"27.786";"42.923";"26.7347452774569";"31.4983886713097";"38.0490986765917";"61.3 (25.8)";"38 (19.2)";"17.2 (17.1)";"19.7 (26.7)";"27.8 (31.5)";"42.9 (38)"
"51";"DLNMselectback.bh";"71.673";"44.8";"25.4";"26.1194608162828";"22.041283579188";"17.7763888346312";"35.252";"37.535";"47.932";"25.582224257867";"29.035072400339";"30.1205117533356";"71.7 (26.1)";"44.8 (22)";"25.4 (17.8)";"35.3 (25.6)";"37.5 (29)";"47.9 (30.1)"
"52";"DLNMselectback.by";"59.332";"41";"24.9";"26.2168111691485";"24.6797672009059";"20.8164173748326";"20.335";"31.132";"50.575";"29.9421913565511";"35.2186959073465";"37.3325199451436";"59.3 (26.2)";"41 (24.7)";"24.9 (20.8)";"20.3 (29.9)";"31.1 (35.2)";"50.6 (37.3)"
"53";"DLNMselectforward.none";"90.675";"73.6";"43.1";"15.7584248751407";"17.9516747481294";"14.1916891314614";"75.944";"68.715";"64.104";"5.99678903980111";"7.87644968218293";"11.7014970983817";"90.7 (15.8)";"73.6 (18)";"43.1 (14.2)";"75.9 (6)";"68.7 (7.9)";"64.1 (11.7)"
"54";"DLNMpen.2step.none";"92.008";"78.8";"53.4";"14.2935153764979";"19.0310750663702";"14.2998198759582";"78.248";"71.613";"66.803";"8.47413748180935";"11.0439585843175";"10.0998095291571";"92 (14.3)";"78.8 (19)";"53.4 (14.3)";"78.2 (8.5)";"71.6 (11)";"66.8 (10.1)"
"55";"DLNMpen.2step.bonf";"62.335";"31";"11.9";"27.904231513583";"21.1535989248815";"10.5116577900419";"14.828";"16.261";"20.874";"21.8323737008632";"23.6637424356463";"28.0895272191246";"62.3 (27.9)";"31 (21.2)";"11.9 (10.5)";"14.8 (21.8)";"16.3 (23.7)";"20.9 (28.1)"
"56";"DLNMpen.2step.bh";"71.34";"41.8";"20.5";"26.8165936869263";"26.2228214278396";"18.2228073323159";"27.423";"23.998";"28.6";"26.6658895909506";"27.6692842135262";"28.7028383490715";"71.3 (26.8)";"41.8 (26.2)";"20.5 (18.2)";"27.4 (26.7)";"24 (27.7)";"28.6 (28.7)"
"57";"DLNMpen.2step.by";"56.001";"23.4";"9";"31.3958804960334";"23.2778561267696";"11.590661514488";"11.554";"13.642";"16.571";"21.2312730078852";"24.0302888837896";"26.4357284061483";"56 (31.4)";"23.4 (23.3)";"9 (11.6)";"11.6 (21.2)";"13.6 (24)";"16.6 (26.4)"
